Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "can_mim_mon.brd" as of: 11/14/25 9:27 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.850,1.200,270
C2,Top,1.450,1.200,90
C3,Top,1.075,1.350,0
C4,Top,0.850,0.150,0
C5,Top,1.250,0.150,180
C6,Top,1.700,0.300,180
C7,Top,1.400,0.550,180
C8,Top,1.200,0.800,180
C9,Top,1.600,0.800,180
C10,Top,1.050,0.300,180
C11,Top,0.850,0.750,0
C12,Top,1.100,0.500,270
C13,Top,0.550,0.800,180
C14,Top,1.900,0.750,180
C15,Top,1.650,0.500,90
C16,Top,2.200,0.800,180
D1,Top,1.675,1.500,90
D2,Top,1.825,1.500,90
D3,Top,0.950,1.700,0
L1,Top,1.650,1.200,270
R1,Top,0.950,1.550,270
R2,Top,0.825,0.250,90
R3,Top,1.275,0.250,90
R4,Top,0.650,0.600,270
R5,Top,0.550,1.250,180
R6,Top,2.100,0.400,90
R7,Top,2.200,1.250,180
U1,Top,1.700,0.150,0
U2,Top,1.400,0.450,0
U3,Top,1.200,0.700,0
U4,Top,1.600,0.700,0
U5,Top,1.050,0.200,0
U6,Top,0.900,0.500,90
U7,Top,0.550,1.000,0
U8,Top,1.850,0.500,270
U9,Top,2.200,1.000,0
